"$60,000 Budget",Total Hours,
,512.5,
PLANNING,HOURS,NOTES
,48,
Pre-KO,1.5,
Research/Prep,2,
KO call,2,
Scripting 01,3,
Story Plan Meeting 01,4,
Beats 01 / Mood Boards ,8,
Story Plan 01,0.5,
Story Plan 01 Review Call,0.5,
Scripting 02,1,
Story Plan Meeting 02,2,
Beats 02,16,
Story Plan 02,1,
Story Plan 02 Review Call,0.5,
Budget + Timeline Meeting ,1.5,
Account Management- Planning,4,
Art Direction - Planning,,
Resource Coordination - Planning,0.5,
PRE-PRODUCTION,HOURS,
,78.5,
Scripting 03,1,
Story Plan Meeting 03,1,
Beats 03,6,
Style 01,32,
VO Casting,0.5,
Production Plan 01,0.5,
Production Plan 01 Review Call,0.5,
Story Plan Meeting 04,1,
Beats 04,2,
Style 02,16,
Production Plan 02,0.5,
Production Plan 02 Review Call ,1,
Story Plan Meeting 05,0.5,
Beats 05,2,
Style 03,2,
Production Plan 03,0.5,
Production Plan 03 Review Call ,1,
Budget + Timeline Meeting ,1.5,
Account Management - PreProduction,4,
Art Direction - PreProduction,5,
Resource Coordination - PreProduction,0.5,
PRODUCTION,HOURS,
,26,
Production Meeting,5,
Estimated VO Cost,8,
Voicever,1,
Art Direction - Production,6,
Account Management- Production,4,
Full Draft 01 Delivery,0.5,
Animation 01 Review Call,1,
Full Draft 02 Delivery,0.5,
,,
,,
PRODUCTION HOUSE,HOURS,
,360,
Animation 01,250,
Music Composition 01,24,
Sound Design 01,8,
Animation 02,40,
Music Composition 02,16,
Sound Design 02,4,
PH Admin,6,
,,
COMPANY MEETINGS,12,